Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Bambey,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,all,30490,1.0
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,3+,3964,0.13
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,1,17379,0.57
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,2,9147,0.3
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,3,3659,0.12
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,4,305,0.01
Nov 2025,SEN,19573989,,Salemata,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,all,30490,1.0
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,3+,5488,0.18
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,1,14330,0.47
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,2,10672,0.35
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,3,4878,0.16
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,4,610,0.02
Nov 2025,SEN,19573989,,Salemata,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,all,408842,1.0
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,3+,20442,0.05
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,1,335250,0.82
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,2,53149,0.13
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,3,20442,0.05
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Foundiougne,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,all,408842,1.0
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,3+,24531,0.06
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,1,294366,0.72
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,2,89945,0.22
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,3,24531,0.06
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Foundiougne,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,all,112428,1.0
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,3+,5621,0.05
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,1,88818,0.79
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,2,17988,0.16
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,3,5621,0.05
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Ranerou,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,all,112428,1.0
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,3+,7870,0.07
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,1,79824,0.71
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,2,24734,0.22
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,3,7870,0.07
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Ranerou,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,all,865664,1.0
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,3+,8657,0.01
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,1,770441,0.89
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,2,86566,0.1
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,3,8657,0.01
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Rufisque,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,all,865664,1.0
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,3+,17313,0.02
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,1,753128,0.87
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,2,95223,0.11
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,3,17313,0.02
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Rufisque,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,all,341927,1.0
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,3+,41031,0.12
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,1,215414,0.63
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,2,85482,0.25
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,3,37612,0.11
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,4,3419,0.01
Nov 2025,SEN,19573989,,Linguere,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,all,341927,1.0
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,3+,54709,0.16
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,1,167544,0.49
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,2,119674,0.35
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,3,47870,0.14
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,4,6839,0.02
Nov 2025,SEN,19573989,,Linguere,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,all,167353,1.0
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,3+,8368,0.05
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,1,135556,0.81
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,2,23429,0.14
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,3,8368,0.05
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,4,0,0
Nov 2025,SEN,19573989,,Birkelane,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,all,167353,1.0
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,3+,11715,0.07
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,1,118821,0.71
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,2,36818,0.22
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,3,11715,0.07
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,4,0,0
Nov 2025,SEN,19573989,,Birkelane,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,all,444977,1.0
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,3+,4450,0.01
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,1,382680,0.86
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,2,57847,0.13
Nov 2025,SEN,19573989,,Fatick,current,2025-10-01,2025-12-31,3,4450,0.01
